Index,Nom de l'animal,Règne,Embranchement,Sous-embranchement,Classe,Sous-classe,Infra-classe,Ordre,Super-ordre,Sous-ordre,Infra-ordre,Famille,Super-famille,Sous-famille,Genre,Sous-genre,Tribu,Clade
170,Pale-Throated Three-Toed Sloth,Animaux,Chordés,Vertébrés,Mammifères,,,Pilosa,,,,Bradypodidae,,,Bradypus,,,
171,Asiatic Black Bear,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Ursidae,,,Ursus,,,
172,Hog Deer,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Hyelaphus,,,
173,Water Deer,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Hydropotinae,Hydropotes,,,
174,Golden Bamboo Lemur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lemuridae,,,Hapalemur,,,
175,Eurasian Lynx,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Lynx,,,
176,Black-Footed Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Felis,,,
177,Honey Badger,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Mellivorinae,Mellivora,,,
178,Giant Armadillo,Animaux,Chordés,Vertébrés,Mammifères,,,Cingulata,,,,Chlamyphoridae,,Tolypeutinae,,,,
179,Common Genet,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,,,Viverridae,,Viverrinae,Genetta,,,
180,Western Gorilla,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Hominidae,,,Gorilla,,,
181,Canadian Lynx,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Lynx,,,
182,Swamp Wallaby,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,Macropodinae,Wallabia,,,
183,Asian Lion,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Panthera,,,
184,Hector's Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Cephalorhynchus,,,
185,Antelope Jackrabbit,Animaux,Chordés,Vertébrés,Mammifères,,,Lagomorpha,,,,Leporidae,,,Lepus,,,
186,European Polecat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Mustelinae,Mustela,,,
187,Sugar Glider,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Petauridae,,,Petaurus,,,
188,White-Cheeked Spider Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Atelidae,,Atelinae,Ateles,,,
189,Crab-Eating Fox,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,Caninae,Cerdocyon,,,
190,Meerkat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Herpestidae,,,Suricata,,,
191,American Black Bear,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Ursidae,,,Ursus,,,
192,Barasingha,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,,Rucervus,,,
193,Gerenuk,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Antilopinae,Litocranius,,Antilopini,
194,Olinguito,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Procyonidae,,,Bassaricyon,,,
195,Cougar,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Puma,,,
196,Visayan Warty Pig,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Suidae,,,Sus,,,
197,Tiger Quoll,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Dasyuromorphia,,,,Dasyuridae,,,Dasyurus,,,
198,Mouflon,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Caprinae,Ovis,,,
199,Striped Hyena,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Hyaenidae,,,Hyaena,,,
200,Small Asian Mongoose,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Herpestidae,,Herpestinae,Herpestes,,,
201,White-Nosed Coati,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Procyonidae,,,Nasua,,,
202,Deer Mouse,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cricetidae,,,Peromyscus,,Reithrodontomyini,
203,Ringtail,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Procyonidae,,,Bassaricyon,,,
204,Caracal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,Felinae,Caracal,,,
205,Alpine Ibex,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Caprinae,Capra,,,
206,Coyote,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Canis,,,
207,Southern African Hedgehog,Animaux,Chordés,Vertébrés,Mammifères,,,Eulipotyphla,,,,Erinaceidae,,,Atelerix,,,
208,Spotted Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,,Phoca,,,Pinnipedia
209,Tasmanian Devil,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Dasyuromorphia,,,,Dasyuridae,,,Sarcophilus,,,
210,Bengal Fox,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Vulpes,,,
211,Common Duiker,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Cephalophinae,Sylvicapra,,,
212,Arctic Ground Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Spermophilus,,,
